vehicle,euroname,euroclass,technology,proportion,sourceCell,userCell,poltype,year,area
E85 Bioethanol Car,7Euro 6c,6,c,0.0,B249,D249,NOx,2015,England (not London)
LPG Car,2Euro 1,1,Standard,0.0020087258069646807,B252,D252,NOx,2015,England (not London)
LPG Car,3Euro 2,2,Standard,0.023167038988064572,B253,D253,NOx,2015,England (not London)
LPG Car,4Euro 3,3,Standard,0.20722959517877151,B254,D254,NOx,2015,England (not London)
LPG Car,5Euro 4,4,Standard,0.2935948822973421,B255,D255,NOx,2015,England (not London)
LPG Car,6Euro 5,5,Standard,0.3972753995292053,B256,D256,NOx,2015,England (not London)
LPG Car,7Euro 6,6,Standard,0.0767243581996517,B257,D257,NOx,2015,England (not London)
Full Hybrid Petrol LGV,5Euro 4,4,Standard,0.4446142291495836,B261,D261,NOx,2015,England (not London)
Full Hybrid Petrol LGV,6Euro 5,5,Standard,0.5553857708504165,B262,D262,NOx,2015,England (not London)
Full Hybrid Petrol LGV,7Euro 6,6,Standard,0.0,B263,D263,NOx,2015,England (not London)
Full Hybrid Petrol LGV,7Euro 6c,6,c,0.0,B264,D264,NOx,2015,England (not London)
Plug-In Hybrid Petrol LGV,1Pre-Euro 1,0,Standard,0.0,B267,D267,NOx,2015,England (not London)
Plug-In Hybrid Petrol LGV,6Euro 5,5,Standard,1.0,B268,D268,NOx,2015,England (not London)
Plug-In Hybrid Petrol LGV,7Euro 6,6,Standard,0.0,B269,D269,NOx,2015,England (not London)
Plug-In Hybrid Petrol LGV,7Euro 6c,6,c,0.0,B270,D270,NOx,2015,England (not London)
E85 Bioethanol LGV,1Pre-Euro 1,0,Standard,0.0,B278,D278,NOx,2015,England (not London)
E85 Bioethanol LGV,2Euro 1,1,Standard,0.011367861026628616,B279,D279,NOx,2015,England (not London)
E85 Bioethanol LGV,3Euro 2,2,Standard,0.06978731990943186,B280,D280,NOx,2015,England (not London)
E85 Bioethanol LGV,4Euro 3,3,Standard,0.2511511389471799,B281,D281,NOx,2015,England (not London)
E85 Bioethanol LGV,5Euro 4,4,Standard,0.3128231196285651,B282,D282,NOx,2015,England (not London)
E85 Bioethanol LGV,6Euro 5,5,Standard,0.35487056048819443,B283,D283,NOx,2015,England (not London)
E85 Bioethanol LGV,7Euro 6,6,Standard,0.0,B284,D284,NOx,2015,England (not London)
E85 Bioethanol LGV,7Euro 6c,6,c,0.0,B285,D285,NOx,2015,England (not London)
LPG LGV,2Euro 1,1,Standard,0.01073419301136428,B288,D288,NOx,2015,England (not London)
LPG LGV,3Euro 2,2,Standard,0.06595080265912742,B289,D289,NOx,2015,England (not London)
LPG LGV,4Euro 3,3,Standard,0.2391008657504153,B290,D290,NOx,2015,England (not London)
