,year,euro,version,speed,vehicle,NOx (g/km/s/veh),PM10 (g/km/s/veh),PM2.5 (g/km/s/veh)
92,2013,0,7.0,90,2. Petrol Cars,3.24425418512e-05,3.39224612844e-07,1.87040853916e-07
93,2013,0,7.0,90,3. Diesel Cars,6.67758467898e-06,1.65917208506e-06,1.44099089994e-06
94,2013,0,7.0,90,4. LGV,1.25177539303e-05,3.34429705617e-06,2.98557392853e-06
95,2013,0,7.0,90,5. Buses and Coaches,0.000104118276795,4.68441157864e-06,3.86688361687e-06
96,2013,0,7.0,90,6. Rigid HGVs,9.07170615392e-05,4.26741553383e-06,3.48624439539e-06
97,2013,0,7.0,90,7. Articulated HGVs,0.000125055827084,5.56328723178e-06,4.64951381218e-06
98,2013,0,7.0,100,1. Motorcycles,5.56765826332e-06,4.86549254219e-07,3.999419107e-07
99,2013,0,7.0,100,2. Petrol Cars,3.52944807673e-05,3.39230609825e-07,1.8704656668e-07
100,2013,0,7.0,100,3. Diesel Cars,7.35922321837e-06,1.88071305729e-06,1.65145490882e-06
101,2013,0,7.0,100,4. LGV,1.64722659974e-05,3.50714549313e-06,3.14028011417e-06
102,2013,0,7.0,100,5. Buses and Coaches,0.000103729049442,4.64340064354e-06,3.82792313758e-06
103,2013,0,7.0,100,6. Rigid HGVs,9.07170615392e-05,4.26741553383e-06,3.48624439539e-06
104,2013,0,7.0,100,7. Articulated HGVs,0.000125055827084,5.56328723178e-06,4.64951381218e-06
105,2013,0,7.0,110,1. Motorcycles,6.30117028777e-06,4.86549254219e-07,3.999419107e-07
106,2013,0,7.0,110,2. Petrol Cars,3.83858823625e-05,3.39251386094e-07,1.87066291346e-07
107,2013,0,7.0,110,3. Diesel Cars,8.30036606203e-06,2.20840888687e-06,1.96276596398e-06
108,2013,0,7.0,110,4. LGV,2.21830887313e-05,3.69714666704e-06,3.32078116116e-06
109,2013,0,7.0,110,5. Buses and Coaches,0.00010362402827,4.62644175059e-06,3.8118125758e-06
110,2013,0,7.0,110,6. Rigid HGVs,9.07170615392e-05,4.26741553383e-06,3.48624439539e-06
111,2013,0,7.0,110,7. Articulated HGVs,0.000125055827084,5.56328723178e-06,4.64951381218e-06
